root_index,xl,xu,x,relative_error,tol,iter,function,method
0,1.5000000000,1.8305062197,1.8305062197,14.7223635431,0.0001000000,1,(x/2) - tan(2*x),False Position
0,1.5000000000,2.0372431094,2.0372431094,10.1478752743,0.0001000000,2,(x/2) - tan(2*x),False Position
0,1.5000000000,1.8921041189,1.8921041189,7.6707718702,0.0001000000,3,(x/2) - tan(2*x),False Position
0,1.5000000000,2.0034746802,2.0034746802,5.5588704163,0.0001000000,4,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9219368695,1.9219368695,4.2424812202,0.0001000000,5,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9842005305,1.9842005305,3.1379721998,0.0001000000,6,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9379098388,1.9379098388,2.3886917122,0.0001000000,7,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9731037910,1.9731037910,1.7836847915,0.0001000000,8,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9467555514,1.9467555514,1.3534436657,0.0001000000,9,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9667264693,1.9667264693,1.0154395263,0.0001000000,10,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9517228400,1.9517228400,0.7687377005,0.0001000000,11,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9630729895,1.9630729895,0.5781827524,0.0001000000,12,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9545301749,1.9545301749,0.4370776497,0.0001000000,13,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9609852087,1.9609852087,0.3291729980,0.0001000000,14,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9561218643,1.9561218643,0.2486217509,0.0001000000,15,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9597941288,1.9597941288,0.1873801171,0.0001000000,16,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9570258279,1.9570258279,0.1414544895,0.0001000000,17,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9591153121,1.9591153121,0.1066544787,0.0001000000,18,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9575396804,1.9575396804,0.0804904131,0.0001000000,19,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9587286779,1.9587286779,0.0607025147,0.0001000000,20,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9578319234,1.9578319234,0.0458034460,0.0001000000,21,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9585085403,1.9585085403,0.0345475551,0.0001000000,22,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9579981775,1.9579981775,0.0260655384,0.0001000000,23,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9583832262,1.9583832262,0.0196615603,0.0001000000,24,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9580927727,1.9580927727,0.0148334900,0.0001000000,25,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9583118991,1.9583118991,0.0111895562,0.0001000000,26,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9581466003,1.9581466003,0.0084415954,0.0001000000,27,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582713034,1.9582713034,0.0063680200,0.0001000000,28,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9581772314,1.9581772314,0.0048040585,0.0001000000,29,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582481993,1.9582481993,0.0036240491,0.0001000000,30,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9581946629,1.9581946629,0.0027339685,0.0001000000,31,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582350504,1.9582350504,0.0020624462,0.0001000000,32,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582045829,1.9582045829,0.0015558923,0.0001000000,33,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582275673,1.9582275673,0.0011737364,0.0001000000,34,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582102282,1.9582102282,0.0008854541,0.0001000000,35,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582233086,1.9582233086,0.0006679719,0.0001000000,36,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582134410,1.9582134410,0.0005039098,0.0001000000,37,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582208850,1.9582208850,0.0003801417,0.0001000000,38,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582152694,1.9582152694,0.0002867740,0.0001000000,39,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582195057,1.9582195057,0.0002163380,0.0001000000,40,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582163099,1.9582163099,0.0001632025,0.0001000000,41,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582187208,1.9582187208,0.0001231176,0.0001000000,42,(x/2) - tan(2*x),False Position
0,1.5000000000,1.9582169020,1.9582169020,0.0000928782,0.0001000000,43,(x/2) - tan(2*x),False Position
1,3.0000000000,3.6299102678,3.6299102678,1.9308943483,0.0001000000,1,(x/2) - tan(2*x),False Position
1,3.0000000000,3.7747277469,3.7747277469,3.8365013014,0.0001000000,2,(x/2) - tan(2*x),False Position
1,3.0000000000,3.4497281733,3.4497281733,9.4210197810,0.0001000000,3,(x/2) - tan(2*x),False Position
1,3.0000000000,4.0400670605,4.0400670605,14.6121061432,0.0001000000,4,(x/2) - tan(2*x),False Position
1,2.5928539474,4.0400670605,2.5928539474,55.8154505581,0.0001000000,5,(x/2) - tan(2*x),False Position
1,1.0844565579,4.0400670605,1.0844565579,139.0924678843,0.0001000000,6,(x/2) - tan(2*x),False Position
1,-0.2791484897,4.0400670605,-0.2791484897,488.4873455573,0.0001000000,7,(x/2) - tan(2*x),False Position
1,-0.6353427430,4.0400670605,-0.6353427430,56.0633228582,0.0001000000,8,(x/2) - tan(2*x),False Position
